search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
NIHR Bristol Biomedical Research Centre (BRC),Funders and research programmes,bristolbrc.bsky.social,NIHR Bristol Biomedical Research Centre (BRC),The Bristol Biomedical Research Centre is led by University Hospitals Bristol and Weston NHS Foundation Trust in partnership with the University of Bristol. We're funded by @nihr.bsky.social (National Institute for Health and Care Research),0,0,0,2024-10-20
NIHR Bristol Biomedical Research Centre (BRC),Funders and research programmes,oxhealthbrc.bsky.social,NIHR Oxford Health Biomedical Research Centre ,"The OH BRC, based at  Oxford Health NHS FT is run in partnership with University of Oxford with 13 partner university and NHS Trusts across England.",0,0,0,2024-10-20
NIHR Bristol Biomedical Research Centre (BRC),Funders and research programmes,oxfordbrc.bsky.social,Oxford BRC,The NIHR Oxford Biomedical Research Centre (BRC) is a collaboration between the University of Oxford and Oxford University Hospitals NHS Foundation Trust to fund medical research.,0,0,0,2024-10-20
NIHR Bristol Biomedical Research Centre (BRC),Funders and research programmes,nihrmaudsleybrc.bsky.social,NIHR Maudsley Biomedical Research Centre (BRC),"We are part of the National Institute for Health and Care Research and hosted by South London and Maudsley NHS Foundation Trust in partnership with King's College London. www.maudsleybrc.nihr.ac.uk
 ",0,0,0,2024-10-20
