search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Durham University,university,kelsbot.bsky.social,Kelsie Rodenbiker,"pseudepigraphy, manuscripts, canon with scare quotes | Research Associate at the University of Glasgow | PhD, University of Durham",0,0,0,2024-10-20
Durham University,university,jiamingzheng.bsky.social,Jiaming Zheng ,"Manchu ｜ Translator Durham University alumni 

Interested in Translation Dialects Linguistics Sociolinguistics Ethnography History",0,0,0,2024-10-20
Durham University,university,socialvisionlab.bsky.social,Anthony Atkinson ,"Experimental psychologist & cognitive neuroscientist. I research the mechanisms that allow us to perceive social information from faces and bodies.

Professor at Durham University

https://www.durham.ac.uk/staff/a-p-atkinson/
https://atkinsonap.github",0,0,0,2024-10-20
Durham University,university,carolineclason.bsky.social,Caroline Clason,Glaciologist specialising in mountain glacier and ice sheet hydrology. Associate Professor in Geography at Durham University. ❄ Ultra runner. Sometimes climber. Inconsistent yogi. Labradoodle mum. 🏃‍♀️🧗‍♀️🧘‍♀️ https://linktr.ee/carolineclason,0,0,0,2024-10-20
Durham University,university,astrofrancesca.bsky.social,Francesca Fragkoudi,Astrophysicist | UKRI Future Leaders Fellow and Assistant Prof. at Durham University | #κυπραία,0,0,0,2024-10-20
Durham University,university,bobhudson.bsky.social,@bobhudson.bsky.social,"Public policy academic, University of Kent. Sunderland AFC loyalist. Inveterate Remainer. Durham City, UK. 
https://www.theguardian.com/profile/bob-hudson",0,0,0,2024-10-20
Durham University,university,kasparrosager.bsky.social,Kaspar Rosager Ludvigsen,"Assistant Professor in Medical Law, Durham University. Danish lawyer (EU Law/CPS/IoT/AI/MD/CL/DP/LP/DK/Safety). Formerly postdoc, Edinburgh University, RA at University of Newcastle, PhD student, Cybersecurity/Law, CIS, University of Strathclyde. Gourmand.",0,0,0,2024-10-20
Durham University,university,cjblakey.bsky.social,Christopher Blakey,"🦋 Wildlife watcher, recorder, and educator
📸 Mostly local photography, NE England
🎵 Musicologist, Durham University
🌐 christopherblakey.com",0,0,0,2024-10-20
Durham University,university,jonathantummons.bsky.social,Jonathan Tummons,"Professor, Ethnography and Education, Durham University UK. Modes of Existence. Actor Network Theory. STS. Communities of Practice. Further, adult and vocational education. 33-45-78 rpm.",0,0,0,2024-10-20
Durham University,university,rlstrnad.bsky.social,Renee Strnad,"Environmental educator, tree-hugger, wanderer, kayaker, and gardener. Appreciate good times, good food, and campfires. Living in Durham, work at NC State University. Opinions my own. She/They",0,0,0,2024-10-20
Durham University,university,gibsonroyk.bsky.social,Roy Gibson,"From Belfast. Fluent in Glaswegian. Tertiary education in England. Married to Wexford woman. Irish Citizen. British Citizen. Professor in Classics, Durham University. All views my own. ",0,0,0,2024-10-20
Durham University,university,emilarchambault.bsky.social,Emil Archambault,"Postdoc, School of Government and International Affairs, University of Durham. Researching contemporary war, remoteness, and drones.
emilarchambault.wordpress.com
",0,0,0,2024-10-20
Durham University,university,emilywebz.bsky.social,"Emily Webster, PhD, MSc","Assistant Professor in the History and Philosophy of Health and Medicine at 
Durham University. #Epidemics #Environment #Health past and present.",0,0,0,2024-10-20
Durham University,university,francavanagh.bsky.social,Fran Cavanagh,"Postgraduate Researcher at Durham University | Quantitative Social Psychology 

",0,0,0,2024-10-20
Durham University,university,durhampsych.bsky.social,Durham Psychology,"The Department of Psychology at Durham University

Investigating human nature & processes underpinning our thoughts, feelings, & motivations

https://www.durham.ac.uk/departments/academic/psychology/",0,0,0,2024-10-20
Durham University,university,tomcoward.bsky.social,Dr Thomas R.P. Coward,"Classicist at Scuola Superiore Meridionale, Naples. Honorary Fellow at Durham University and Ca' Foscari, Venice. Writing first intellectual history of ancient Rhodes. Also works on the Hesiodic Catalogue, fragmentary literary texts, and John Tzetzes.",0,0,0,2024-10-20
