search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Joseph Rowntree Foundation ,Funders and research programmes,jrf-uk.bsky.social,Joseph Rowntree Foundation,"We work to speed up and support the transition to a future free from poverty, in which people and planet can flourish.

https://www.jrf.org.uk/",0,0,0,2024-10-20
Joseph Rowntree Foundation ,Funders and research programmes,katieschmuecker.bsky.social,Katie Schmuecker ,"Principal Policy Adviser at the Joseph Rowntree Foundation - UK poverty, social policy, politics, research and data. Occasionally crochet, gigs and nature",0,0,0,2024-10-20
