search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Queen Mary University of London,university,timbale.bsky.social,Tim Bale,"Professor of Politics at Queen Mary University of London and author of The Conservative Party after Brexit: Turmoil and Transformation (Polity, 2023). The bits and pieces I do for websites and newspapers turn up eventually at https://proftimbale.com/ ",0,0,0,2024-10-20
Queen Mary University of London,university,gloefflmann.bsky.social,Georg ‘Maverick’ Löfflmann ,"Lecturer (Assistant Prof) in US Foreign Policy, Queen Mary University of London. Author of American Grand Strategy Under Obama. Researches Security/Narratives/Identity/Populism

https://www.qmul.ac.uk/politics/staff/profiles/loefflmanngeorg.html",0,0,0,2024-10-20
Queen Mary University of London,university,onlyannamaria.bsky.social,anna maría,"artist and analyst making work across two continents. armchair tolkien expert, TTRPG queen. i go by anna maría, not anna!
[htx → london]

🇵🇷🧿🇬🇷",0,0,0,2024-10-20
