search_term,organisation_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
University of Southampton,University,burakbaskan.bsky.social,Burak Başkan,"Associate Professor in Political Science and Gender Studies at ETÜ | Alumnus: Middle East Technical University, University of Southampton, The University of Sheffield",0,0,0,2024-11-25
University of Southampton,University,adityan.bsky.social,Aditya Narayanan,"Physical oceanographer interested in Antarctica, sea ice, and ocean- cryosphere interactions. At the University of Southampton. Academic website: adityarn.github.io",0,0,0,2024-11-25
University of Southampton,University,elisafadda.bsky.social,Elisa Fadda,"Associate Professor in the School of Biological Sciences at the University of Southampton, head chef at https://GlycoShape.org, Salem's butler, fucose fanatic #glycotime everyday!",0,0,0,2024-11-25
University of Southampton,University,dravowles.bsky.social,Andy Vowles,"Senior Research Fellow at the International Centre for Ecohydraulics Research (University of Southampton, UK) | River restoration | Animal behaviour | Fish passage | Ecology | Light pollution | Fish welfare",0,0,0,2024-11-25
University of Southampton,University,richardstockey.bsky.social,Richard Stockey,"Lecturer in Palaeobiology at University of Southampton
 ––– trying to understand how environmental change has impacted oceans and the animals that live in them through Earth's history |he/him|",0,0,0,2024-11-25
University of Southampton,University,jmorriss.bsky.social,Jayne Morriss,Lecturer at University of Southampton. Res: Uncertainty; Anxiety; Emotion; Neurobiology; Translation from lab to clinic. Editoral Board Member at BRAT & INTPSY. Committed to generating impact and championing EDI. ,0,0,0,2024-11-25
University of Southampton,University,petefussey.bsky.social,Pete Fussey,"Prof @ University of Southampton ~ Surveillance, tech, rights, security, criminology. Musician & @SxSW performing artist",0,0,0,2024-11-25
University of Southampton,University,emilysreid.bsky.social,Prof Emily Reid,"Academic Lawyer - trade and sustainable development - University of Southampton
",0,0,0,2024-11-25
University of Southampton,University,tomezard.bsky.social,Tom Ezard,"Evolutionary Ecology via computer vision, geochemistry, maths, stats, and systematics in Ocean and Earth Science, University of Southampton. https://tomezard.github.io/",0,0,0,2024-11-25
University of Southampton,University,profjulianleyland.bsky.social,Prof. Julian Leyland,"Professor of Physical Geography, University of Southampton
Director of Environmental Sensing @ Southampton",0,0,0,2024-11-25
University of Southampton,University,sotonpolitics.bsky.social,Politics at Southampton,"News and updates from Politics & International Relations at University of Southampton

A top 20 UK Politics Department.",0,0,0,2024-11-25
University of Southampton,University,nickiclarkson.bsky.social,Nicki Clarkson,"Engagement Librarian at the University of Southampton, lover of cats, cake, coffee, knitting & Board Meeting Bingo, embarrassing parent. Views: my own. She/her",0,0,0,2024-11-25
University of Southampton,University,chloermckenzie.bsky.social,Chloë R McKenzie,Assistant Prof. in Medieval History at Northeastern University London | Visiting Fellow at CMRC Southampton| Book on Ladies of the Garter,0,0,0,2024-11-25
University of Southampton,University,dodiscimus.bsky.social,Matt Perks,"11-18 physics teacher, now at University of Southampton in Initial Teacher Education. School governor. Mostly edu-guessing. 
By teaching, we learn!",0,0,0,2024-11-25
University of Southampton,University,oshuwilson.bsky.social,Joshua Wilson,"PhD Student at the University of Southampton and the British Antarctic Survey studying the movement ecology of Southern Ocean predators. All things tracking, SDMs, stats, and coding (and penguins, whales, seals, and albatross!)",0,0,0,2024-11-25
University of Southampton,University,admbriggs.bsky.social,Adam Briggs,"Public health doctor. Oxfordshire County Council; The Health Foundation; University of Southampton/NIHR.

Health/public health policy, sustainability. And bits of music, nature, stuff. Views own.",0,0,0,2024-11-25
University of Southampton,University,piariggirozzi.bsky.social,Pía Riggirozzi,"Professor of Global Politics at University of Southampton | Latin American political economy, rights & development | Regional governance, gender & migration | Views mine http://www.politics.soton.ac.uk/profile/piariggirozzi",0,0,0,2024-11-25
University of Southampton,University,goodlettk.bsky.social,Karen Goodlett,Baby archaeologist.🏺MArc student @ Southampton University. Founding member of ESBAA (European Society of Black & Allied Archaeologists)  🇯🇲 🇪🇺 #BLM ✊🏽,0,0,0,2024-11-25
University of Southampton,University,janeabirkin.bsky.social,Jane Birkin,"Artist, designer, writer. Research Fellow, Winchester School of Art, University of Southampton. Mostly photography and archive systems, but also thinking and writing about air.",0,0,0,2024-11-25
University of Southampton,University,katerinaglyniadaki.bsky.social,Katerina Glyniadaki ,"Assistant Professor in Public Policy and Administration, University of Southampton ",0,0,0,2024-11-25
University of Southampton,University,fionawoollard.bsky.social,Fiona Woollard,"Philosopher at University of Southampton
Motherhood/ Parenthood, Pregnancy, Deontological distinctions. 
She/her",0,0,0,2024-11-25
University of Southampton,University,vchengm.bsky.social,Vanessa Cheng-Matsuno,"Lecturer in Public Policy at PAIR Southampton. PhD in PoliSci, LSE. MPA/ID, Harvard University. Bureaucracy Lab, World Bank. Economics, U del Pacífico. Limeña. 

www.vanessa-cheng.com",0,0,0,2024-11-25
University of Southampton,University,andrewhind.bsky.social,Andrew Hind,"Demographer specialising in internal migration and population projections. Consultant: school place planning, SEND and capital projects. Interests: English Literature and Cultural Studies. Leicester and Harwich. Affiliation: University of Southampton ",0,0,0,2024-11-25
University of Southampton,University,alisoncribb.bsky.social,Dr Alison Cribb,Paleoecologist with a computer🪱🪸👩‍💻 • Fossils for the future! • 1851 Research Fellow at University of Southampton • she/her • atcribb.github.io,0,0,0,2024-11-25
