search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Royal Academy of Engineering,funding_org,michaelemann.bsky.social,Michael E. Mann,"Scientist/Author; Presidential Distinguished Prof/Director Center for Science, Sustainability & the Media, U. Penn; National Academy of Sciences; Royal Society; Tyler Prize",0,0,0,2024-10-20
Royal Academy of Engineering,funding_org,gilespalaeo.bsky.social,Sam Giles,"Scientist and palaeobiologist | she/her/hers | Royal Society Senior Research Fellow in Birmingham, UK and Lapworth Museum Academic Keeper | 🏳️‍🌈 | too many pets | currently mostly migraines |",0,0,0,2024-10-20
Royal Academy of Engineering,funding_org,ltratt.bsky.social,Laurence Tratt,Shopify / Royal Academy of Engineering Research Chair in Language Engineering. https://tratt.net/laurie/,0,0,0,2024-10-20
Royal Academy of Engineering,funding_org,adalovelaceday.bsky.social,Ada Lovelace Day,"International celebration of women in science, tech, engineering & maths. Join us on Tues 8 Oct at the Royal Institution! ",0,0,0,2024-10-20
Royal Academy of Engineering,funding_org,olimould.bsky.social,Oli Mould,"Academic at large, but lectures in human geography at Royal Holloway, University of London.

linktr.ee/olimould

Researches anti-capitalism & cities. Christianarchist. Toffeeman. Interested in scifi, films, architecture, music and t-shirts.",0,0,0,2024-10-20
Royal Academy of Engineering,funding_org,csandis.bsky.social,Constantine Sandis,"Director, Lex Academic
Fellow, Royal Society of Arts
Visiting Professor of Philosophy, University of Hertfordshire

Philosophy of Action, Moral Psychology, Wittgenstein, Bob Dylan.

www.constantinesandis.com
www.lexacademic.com",0,0,0,2024-10-20
