search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
University of Oxford,university,donmoyn.bsky.social,Don Moynihan,"Policy Professor, Ford School, University of Michigan.
Irish immigrant. Administrative burdens guy.
Free newsletter, Can We Still Govern?: https://donmoynihan.substack.com",0,0,0,2024-10-20
University of Oxford,university,maxroser.bsky.social,Max Roser,"Data to understand global problems and research to make progress against them.

— Founder of Our World in Data
— Professor at the University of Oxford",0,0,0,2024-10-20
University of Oxford,university,trishgreenhalgh.bsky.social,Trish Greenhalgh,"Professor of Primary Care Health Sciences, Oxford University. Researching digital health (esp inequities), covid prevention (masks/ air quality). Member of Independent SAGE. Wild swimmer.  Mum to Rob (marine bio) and Al (doc). Not medical advice. #medsky",0,0,0,2024-10-20
University of Oxford,university,hannahritchie.bsky.social,Hannah Ritchie,"Deputy Editor, Our World in Data
Senior Researcher, University of Oxford

Climate, energy, environment, all things data.",0,0,0,2024-10-20
University of Oxford,university,robfordmancs.bsky.social,Rob Ford,"Politics Professor, University of Manchester. 
Author of ""Brexitland"" and ""The British General Election of 2019""
My Substack, ""The Swingometer"", is here: https://swingometer.substack.com/
https://www.robertford.net/",0,0,0,2024-10-20
University of Oxford,university,benansell.bsky.social,Ben Ansell,"Professor of Comparative Democratic Institutions, Nuffield & University of Oxford, FBA. http://benansell.substack.com. Why Politics Fails. BBC Reith Lecturer 2023. Host of What’s Wrong With Democracy? and BBC Radio 4’s Rethink ",0,0,0,2024-10-20
University of Oxford,university,duncanrobertson.bsky.social,Dr Duncan Robertson,"Policy & Strategy Analytics academic at Loughborough University; Fellow, St Catherine's College, Oxford. Focusing on COVID-19 Member, @IndependentSage.",0,0,0,2024-10-20
University of Oxford,university,janrosenow.bsky.social,Jan Rosenow,"Energy transition optimist
Vice President and Director at the Regulatory Assistance Project
Research at Oxford University, SPRU & FU Berlin
Co-host Watt Matters podcast
Board and expert committee member of various organisations ",0,0,0,2024-10-20
