search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
London School of Economics (LSE),university,leahmcelrath.bsky.social,Leah McElrath,"Politics, intl relations, psychology, etc.
Making sense of a world that doesn’t 
Smith College BA, MSW 
(Also London School of Economics)
#ActuallyAutistic #LGBTQ #MECFS",0,0,0,2024-10-20
London School of Economics (LSE),university,henryoverman.bsky.social,Henry G Overman,"Economics, Cities, Policy.  
Professor, London School of Economics. Research Director Centre for Economic Performance @cep-lse.bsky.social. Director @whatworksgrowth.bsky.social. President @urbaneconomics.bsky.social",0,0,0,2024-10-20
London School of Economics (LSE),university,alicirone.bsky.social,Dr. Alexandra Cirone,"Asst. Professor, London School of Economics
(joint School of Public Policy and Gov)

Fellow, Yale ISPS Democratic Innovations  

Columbia PhD, UChicago AB

Studying lotteries in democracy, HPE, political economy; turning history into data 
",0,0,0,2024-10-20
